,Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1961,Y1961F,Y1962,Y1962F,Y1963,Y1963F,Y1964,Y1964F,Y1965,Y1965F,Y1966,Y1966F,Y1967,Y1967F,Y1968,Y1968F,Y1969,Y1969F,Y1970,Y1970F,Y1971,Y1971F,Y1972,Y1972F,Y1973,Y1973F,Y1974,Y1974F,Y1975,Y1975F,Y1976,Y1976F,Y1977,Y1977F,Y1978,Y1978F,Y1979,Y1979F,Y1980,Y1980F,Y1981,Y1981F,Y1982,Y1982F,Y1983,Y1983F,Y1984,Y1984F,Y1985,Y1985F,Y1986,Y1986F,Y1987,Y1987F,Y1988,Y1988F,Y1989,Y1989F,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F
20394,5400,Europe,1806,Beef and Buffalo Meat,5320,Producing Animals/Slaughtered,Head,69086607.0,A,75912716.0,A,81842427.0,A,75907732.0,A,72656955.0,A,76247013.0,A,83027393.0,A,85111116.0,A,82752579.0,A,81445584.0,A,78925901.0,A,76338493.0,A,77039122.0,A,84127957.0,A,86800621.0,A,87204660.0,A,83873181.0,A,84379289.0,A,85480668.0,A,86405355.0,A,84573042.0,A,83861493.0,A,84032176.0,A,88845395.0,A,88208620.0,A,88063462.0,A,89387657.0,A,86388970.0,A,85181004.0,A,88778357.0,A,86963733.0,A,77725265.0,A,73295152.0,A,71223887.0,A,69184770.0,A,64909210.0,A,62860203.0,A,59549968.0,A,56280127.0,A,54536749.0,A,51569530.0,A,52574919.0,A,52567927.0,A,51141249.0,A,48068295.0,A,46743135.0,A,46230606.0,A,45617500.0,A,45028317.0,A,45144623.0,A,43592028.0,A,41972218.0,A,40995536.0,A,41034881.0,A,40723452.0,A,41065597.0,A,40695767.0,A
20396,5400,Europe,1806,Beef and Buffalo Meat,5510,Production,tonnes,9691644.0,A,10580830.0,A,11120428.0,A,10638523.0,A,10927403.0,A,11992317.0,A,13270624.0,A,14028429.0,A,14146611.0,A,14265064.0,A,14493143.0,A,14050546.0,A,14502955.0,A,16441846.0,A,16708700.0,A,16675478.0,A,16850771.0,A,17087238.0,A,17513632.0,A,17407555.0,A,16992944.0,A,16835737.0,A,17429866.0,A,18321213.0,A,18497247.0,A,19046841.0,A,19549360.0,A,19224471.0,A,19182686.0,A,20069690.0,A,19806656.0,A,17073371.0,A,15615309.0,A,14841953.0,A,13969918.0,A,13630656.0,A,13157897.0,A,12568759.0,A,12120951.0,A,11771044.0,A,11417642.0,A,11669133.0,A,11653128.0,A,11531743.0,A,11194666.0,A,11079365.0,A,11118691.0,A,11019355.0,A,10902621.0,A,11027416.0,A,10769751.0,A,10442247.0,A,10159695.0,A,10189637.0,A,10449329.0,A,10583606.0,A,10521546.0,A
20400,5400,Europe,1775,"Meat indigenous, poultry",5323,Production,1000 Head,2265488.0,A,2421054.0,A,2566512.0,A,2630804.0,A,2881192.0,A,2986674.0,A,3159897.0,A,3287927.0,A,3560861.0,A,4029409.0,A,4218447.0,A,4543770.0,A,4870930.0,A,5071774.0,A,5257205.0,A,5472041.0,A,5948911.0,A,6248568.0,A,6556876.0,A,6774230.0,A,7176533.0,A,7340074.0,A,7356898.0,A,7451373.0,A,7543980.0,A,7872264.0,A,8240215.0,A,8373776.0,A,8257824.0,A,8290527.0,A,8021365.0,A,7290001.0,A,6998446.0,A,6901530.0,A,6952714.0,A,7180697.0,A,7039420.0,A,7356236.0,A,7402515.0,A,7347296.0,A,7658322.0,A,7677747.0,A,7535478.0,A,7568056.0,A,7809998.0,A,7688738.0,A,8152551.0,A,8626682.0,A,9263818.0,A,9447394.0,A,9818274.0,A,10328300.0,A,10589516.0,A,,,,,,,,
20401,5400,Europe,1775,"Meat indigenous, poultry",5510,Production,tonnes,2936562.0,A,3113663.0,A,3311375.0,A,3380868.0,A,3670978.0,A,3827884.0,A,4053640.0,A,4260726.0,A,4657651.0,A,5313372.0,A,5633475.0,A,6043295.0,A,6498507.0,A,6767273.0,A,7039995.0,A,7324205.0,A,7938660.0,A,8411456.0,A,8843536.0,A,9202330.0,A,9657995.0,A,9817767.0,A,9884920.0,A,10006770.0,A,10243958.0,A,10647825.0,A,11198278.0,A,11509639.0,A,11623106.0,A,11787678.0,A,11519705.0,A,10809405.0,A,10573960.0,A,10670541.0,A,10816038.0,A,11015689.0,A,11163051.0,A,11799082.0,A,11679191.0,A,11954992.0,A,12580095.0,A,13044597.0,A,12474155.0,A,12757250.0,A,13243572.0,A,13079476.0,A,13870251.0,A,14334829.0,A,15621049.0,A,16261554.0,A,17017474.0,A,17965605.0,A,18507823.0,A,,,,,,,,
20402,5400,Europe,1770,"Meat indigenous, total",5510,Production,tonnes,30051270.0,A,31581510.0,A,32229815.0,A,31203321.0,A,33962898.0,A,35446456.0,A,37324386.0,A,38626018.0,A,39026968.0,A,40921556.0,A,43160294.0,A,43963214.0,A,44860440.0,A,48614192.0,A,49544684.0,A,48098683.0,A,50329205.0,A,52557928.0,A,53965102.0,A,54676783.0,A,54658453.0,A,54593195.0,A,56324819.0,A,58065882.0,A,58539150.0,A,60054519.0,A,61994971.0,A,63079390.0,A,63015900.0,A,64094151.0,A,62599653.0,A,56916997.0,A,55167113.0,A,53566316.0,A,52632896.0,A,52765960.0,A,51566243.0,A,52972129.0,A,52832068.0,A,51857219.0,A,51457362.0,A,52595537.0,A,52487570.0,A,52125013.0,A,51994120.0,A,51771132.0,A,53786769.0,A,54277578.0,A,54925253.0,A,56962059.0,A,57388036.0,A,57621132.0,A,58006649.0,A,,,,,,,,
20403,5400,Europe,1808,"Meat, Poultry",5321,Producing Animals/Slaughtered,1000 Head,2249649.0,A,2405341.0,A,2549418.0,A,2623339.0,A,2855791.0,A,2973427.0,A,3143368.0,A,3265032.0,A,3543469.0,A,4005120.0,A,4184749.0,A,4510899.0,A,4839036.0,A,5035439.0,A,5216433.0,A,5408787.0,A,5870850.0,A,6143182.0,A,6425755.0,A,6646724.0,A,7013890.0,A,7177142.0,A,7159303.0,A,7263092.0,A,7411061.0,A,7717438.0,A,8079034.0,A,8262047.0,A,8171957.0,A,8200659.0,A,7841463.0,A,7276462.0,A,7035143.0,A,6895394.0,A,6865776.0,A,6933473.0,A,6896654.0,A,7212417.0,A,7258898.0,A,7203328.0,A,7464331.0,A,7574563.0,A,7362221.0,A,7480486.0,A,7775647.0,A,7709241.0,A,8194300.0,A,8513643.0,A,9037845.0,A,9309696.0,A,9645981.0,A,10113971.0,A,10485125.0,A,10912883.0,A,11288509.0,A,11455966.0,A,11657593.0,A
20405,5400,Europe,1808,"Meat, Poultry",5510,Production,tonnes,2931671.0,A,3113443.0,A,3307924.0,A,3391782.0,A,3684642.0,A,3841256.0,A,4069731.0,A,4297450.0,A,4667960.0,A,5314983.0,A,5631481.0,A,6055588.0,A,6506994.0,A,6767313.0,A,7020039.0,A,7292014.0,A,7899448.0,A,8354109.0,A,8775729.0,A,9115045.0,A,9590034.0,A,9776536.0,A,9828082.0,A,9954387.0,A,10191797.0,A,10685835.0,A,11167776.0,A,11497058.0,A,11502982.0,A,11757540.0,A,12023167.0,A,11339399.0,A,11265544.0,A,11405922.0,A,11613183.0,A,11976172.0,A,12228535.0,A,12740244.0,A,12407184.0,A,11824178.0,A,12472592.0,A,13048670.0,A,12558474.0,A,12908291.0,A,13365350.0,A,13271475.0,A,14126100.0,A,14332162.0,A,15422218.0,A,16188462.0,A,16907618.0,A,17953332.0,A,18289395.0,A,19256586.0,A,19973770.0,A,20760778.0,A,20707826.0,A
20406,5400,Europe,1765,"Meat, Total",5510,Production,tonnes,30004080.0,A,31607533.0,A,32473269.0,A,31244422.0,A,33997426.0,A,35351798.0,A,37341426.0,A,38695671.0,A,39036443.0,A,40936960.0,A,43202014.0,A,44044092.0,A,44943422.0,A,48629017.0,A,49420749.0,A,48036653.0,A,50248799.0,A,52363614.0,A,54001457.0,A,54539984.0,A,54454012.0,A,54445606.0,A,56135980.0,A,57822331.0,A,58398473.0,A,59908784.0,A,61782979.0,A,62825087.0,A,62683795.0,A,63889889.0,A,62254796.0,A,56872550.0,A,55177653.0,A,53591380.0,A,52847252.0,A,53110682.0,A,52114268.0,A,53478048.0,A,53008225.0,A,51304731.0,A,50829580.0,A,52241216.0,A,52118779.0,A,51807973.0,A,51877895.0,A,51670538.0,A,53861619.0,A,54086936.0,A,54671512.0,A,56566944.0,A,57560116.0,A,58003103.0,A,58111340.0,A,59222870.0,A,61259666.0,A,62935484.0,A,62821233.0,A
20410,5400,Europe,1807,Sheep and Goat Meat,5320,Producing Animals/Slaughtered,Head,143179456.0,A,148640693.0,A,151873337.0,A,150925783.0,A,142680401.0,A,146840748.0,A,145801926.0,A,141144257.0,A,138724966.0,A,139433495.0,A,138165117.0,A,135673611.0,A,135578019.0,A,140519718.0,A,145874476.0,A,135455352.0,A,134355508.0,A,137660107.0,A,136483582.0,A,144014937.0,A,142782112.0,A,145796934.0,A,149007826.0,A,153858480.0,A,153505272.0,A,155607256.0,A,158282733.0,A,164210649.0,A,169810614.0,A,176278416.0,A,169585249.0,A,132370679.0,A,133114904.0,A,126413678.0,A,122063904.0,A,118736481.0,A,110167281.0,A,110233429.0,A,106623865.0,A,105748185.0,A,97902735.0,A,98248028.0,A,99860920.0,A,99771914.0,A,99973249.0,A,99032211.0,A,98287102.0,A,94150797.0,A,91254051.0,A,89103955.0,A,88500837.0,A,86302205.0,A,85012273.0,A,80286093.0,A,79756780.0,A,81900097.0,A,83786961.0,A
20412,5400,Europe,1807,Sheep and Goat Meat,5510,Production,tonnes,1958213.0,A,2029801.0,A,2040438.0,A,2003925.0,A,1978879.0,A,1943163.0,A,2052212.0,A,2033363.0,A,1951056.0,A,2021351.0,A,2011462.0,A,1945345.0,A,2006461.0,A,2079621.0,A,2094967.0,A,2005290.0,A,2006047.0,A,2049535.0,A,2014857.0,A,2114465.0,A,2083017.0,A,2087888.0,A,2150553.0,A,2206040.0,A,2210653.0,A,2248179.0,A,2290269.0,A,2402898.0,A,2472712.0,A,2567640.0,A,2474211.0,A,1899729.0,A,1909868.0,A,1831803.0,A,1753031.0,A,1700563.0,A,1597258.0,A,1610174.0,A,1586260.0,A,1578148.0,A,1407456.0,A,1431505.0,A,1433202.0,A,1464755.0,A,1463631.0,A,1443992.0,A,1441723.0,A,1372520.0,A,1335812.0,A,1303498.0,A,1315357.0,A,1285793.0,A,1279516.0,A,1230808.0,A,1255599.0,A,1266253.0,A,1300936.0,A
20955,5500,Oceania,972,"Meat indigenous, buffalo",5322,Production,Head,140.0,A,120.0,A,557.0,A,230.0,A,100.0,A,130.0,A,130.0,A,131.0,A,110.0,A,178.0,A,65.0,A,65.0,A,60.0,A,55.0,A,55.0,A,55.0,A,55.0,A,55.0,A,60.0,A,60.0,A,65.0,A,65.0,A,50.0,A,51.0,A,51.0,A,5.0,A,5.0,A,5.0,A,5.0,A,5.0,A,5.0,A,5.0,A,5.0,A,5.0,A,5.0,A,5.0,A,5.0,A,5.0,A,5.0,A,5.0,A,5.0,A,5.0,A,5.0,A,5.0,A,5.0,A,5.0,A,6.0,A,6.0,A,6.0,A,6.0,A,6.0,A,6.0,A,6.0,A,,,,,,,,
20957,5500,Oceania,972,"Meat indigenous, buffalo",5510,Production,tonnes,21.0,A,18.0,A,84.0,A,35.0,A,15.0,A,20.0,A,20.0,A,20.0,A,17.0,A,27.0,A,10.0,A,10.0,A,9.0,A,8.0,A,8.0,A,8.0,A,8.0,A,8.0,A,9.0,A,9.0,A,10.0,A,10.0,A,8.0,A,8.0,A,8.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,,,,,,,,
20958,5500,Oceania,944,"Meat indigenous, cattle",5322,Production,Head,6627225.0,A,7809775.0,A,8689335.0,A,9177126.0,A,9278354.0,A,8642857.0,A,8139626.0,A,8449161.0,A,8722840.0,A,9067020.0,A,8840157.0,A,9327825.0,A,11323525.0,A,10395735.0,A,12107039.0,A,14600039.0,A,15686628.0,A,16771639.0,A,14752762.0,A,12037589.0,A,11697446.0,A,12154696.0,A,12451204.0,A,10108476.0,A,10022025.0,A,10522719.0,A,11399296.0,A,11544936.0,A,10739127.0,A,10873337.0,A,11552091.0,A,11888448.0,A,11813206.0,A,11520424.0,A,12658724.0,A,13041526.0,A,13886463.0,A,14218394.0,A,14115222.0,A,12976930.0,A,13353281.0,A,13217353.0,A,14231038.0,A,14050297.0,A,13393764.0,A,12883354.0,A,13574753.0,A,13460412.0,A,13465954.0,A,13209897.0,A,12749535.0,A,12516827.0,A,12210220.0,A,,,,,,,,
20960,5500,Oceania,944,"Meat indigenous, cattle",5510,Production,tonnes,889217.0,A,1096063.0,A,1232893.0,A,1299637.0,A,1309263.0,A,1245166.0,A,1187619.0,A,1257270.0,A,1319564.0,A,1409750.0,A,1455027.0,A,1588564.0,A,1899420.0,A,1744978.0,A,2071630.0,A,2489050.0,A,2567694.0,A,2772493.0,A,2564781.0,A,2089574.0,A,2001523.0,A,2131267.0,A,2092532.0,A,1813973.0,A,1827562.0,A,1904954.0,A,2117898.0,A,2207684.0,A,2104183.0,A,2199699.0,A,2346171.0,A,2377611.0,A,2455135.0,A,2441053.0,A,2583862.0,A,2655548.0,A,2808256.0,A,2822783.0,A,2900726.0,A,2788256.0,A,2927820.0,A,2856407.0,A,2930853.0,A,2922271.0,A,2982974.0,A,2903187.0,A,3060686.0,A,3003564.0,A,3020031.0,A,2990846.0,A,2941654.0,A,2924962.0,A,3073341.0,A,,,,,,,,
20961,5500,Oceania,1094,"Meat indigenous, chicken",5323,Production,1000 Head,43473.0,A,45185.0,A,45531.0,A,53064.0,A,63925.0,A,68087.0,A,82998.0,A,93153.0,A,94145.0,A,106593.0,A,129900.0,A,141003.0,A,142180.0,A,174404.0,A,165662.0,A,179036.0,A,192893.0,A,219169.0,A,231363.0,A,266405.0,A,268467.0,A,251406.0,A,275967.0,A,266899.0,A,300804.0,A,313469.0,A,325540.0,A,331395.0,A,331206.0,A,341462.0,A,341988.0,A,354380.0,A,368144.0,A,400856.0,A,410288.0,A,414220.0,A,433937.0,A,453559.0,A,440916.0,A,479879.0,A,483787.0,A,511116.0,A,519233.0,A,528058.0,A,561994.0,A,546197.0,A,561134.0,A,566871.0,A,573058.0,A,593662.0,A,662769.0,A,671344.0,A,686935.0,A,,,,,,,,
20963,5500,Oceania,1094,"Meat indigenous, chicken",5510,Production,tonnes,54493.0,A,56657.0,A,57081.0,A,66760.0,A,80582.0,A,77120.0,A,96235.0,A,110941.0,A,118009.0,A,133622.0,A,164271.0,A,177436.0,A,174649.0,A,215575.0,A,209500.0,A,227724.0,A,240780.0,A,276849.0,A,299470.0,A,336419.0,A,336401.0,A,320394.0,A,344045.0,A,336806.0,A,387880.0,A,400992.0,A,413385.0,A,425291.0,A,437394.0,A,454400.0,A,459527.0,A,497176.0,A,528577.0,A,559618.0,A,572832.0,A,585935.0,A,664557.0,A,714675.0,A,690645.0,A,735735.0,A,757968.0,A,822821.0,A,856529.0,A,864545.0,A,940395.0,A,949273.0,A,986729.0,A,975267.0,A,993376.0,A,1052126.0,A,1209629.0,A,1237318.0,A,1259268.0,A,,,,,,,,
20964,5500,Oceania,1070,"Meat indigenous, duck",5323,Production,1000 Head,817.0,A,833.0,A,895.0,A,936.0,A,1024.0,A,1193.0,A,1133.0,A,1137.0,A,1162.0,A,1126.0,A,1379.0,A,1544.0,A,1539.0,A,1449.0,A,1554.0,A,1440.0,A,1578.0,A,2056.0,A,2122.0,A,2506.0,A,2208.0,A,2130.0,A,2273.0,A,2048.0,A,2495.0,A,2718.0,A,2545.0,A,2485.0,A,2345.0,A,2383.0,A,2545.0,A,2232.0,A,2520.0,A,2798.0,A,2627.0,A,2988.0,A,3554.0,A,3372.0,A,4085.0,A,4634.0,A,4509.0,A,4488.0,A,4592.0,A,5002.0,A,5190.0,A,5675.0,A,5879.0,A,7599.0,A,9300.0,A,8446.0,A,7969.0,A,7921.0,A,7921.0,A,,,,,,,,
20966,5500,Oceania,1070,"Meat indigenous, duck",5510,Production,tonnes,1401.0,A,1428.0,A,1540.0,A,1613.0,A,1787.0,A,2159.0,A,1975.0,A,2004.0,A,1989.0,A,1890.0,A,2323.0,A,2513.0,A,2613.0,A,2411.0,A,2586.0,A,2373.0,A,2564.0,A,3398.0,A,3504.0,A,4163.0,A,3950.0,A,3423.0,A,3581.0,A,3581.0,A,4086.0,A,4895.0,A,4499.0,A,4488.0,A,4223.0,A,4313.0,A,4720.0,A,4384.0,A,5409.0,A,5796.0,A,5429.0,A,6138.0,A,7356.0,A,6619.0,A,8654.0,A,8934.0,A,9250.0,A,9212.0,A,9418.0,A,10286.0,A,10715.0,A,11686.0,A,12191.0,A,15727.0,A,19278.0,A,17553.0,A,16535.0,A,16468.0,A,16468.0,A,,,,,,,,
